Rock;2055
Jazz;644
Pop;599
Classical;461
Blues Rock;403
Reggae;380
Surf Rock;366
Folk;308
Smooth Jazz;267
Blues;265
R&B;246
Punk Rock;241
Psychedelic Pop;238
Punk;233
R & B;206
Baroque Pop;194
Pop/Rock;172
Electronic;170
Folk/Rock;148
Rock & Roll;142
Alternative;139
Progressive Rock;128
Country;98
Psychedelic Rock;92
Ska;76
Domestic(J-Pops);73
Pop-Folk;71
Rock/Pop;70
Soul;63
Indie;57
Alternativa;54
Poet/Songwriter;53
Dance;47
New Age Piano;43
Soundtrack;43
Alt. Rock;42
New Age;39
2 Tone;37
Hard Dance;36
AlternRock;34
Folk-Rock;33
Reggae Rocksteady;33
Ambient;27
Indie Rock;26
Acoustic;25
Country Rock;24
Alternative & Punk;23
Hip-Hop;22
Meditative;22
Motown;21
Noise;20
Disco;20
Crossover Jazz, Fusuion;18
Classic Rock;17
Instrumental;16
Cheese;15
Gospel;15
Grunge;15
Holiday;15
Extra Crispy;14
Alternative Rock;13
General Classical;13
2 Tone Ska;12
Bluegrass;12
Folk-Rock, Singer/Songwriter;12
Power Pop;12
Electronica;12
Live;11
Metal;10
Crossover Jazz;10
R&B Pop;10
Psychedelic;10
House;10
Funk;9
Blues-Rock;9
General Indie Pop;9
Stab-Core;9
Fusion;8
Folk/Traditional;8
Club-Musik;8
Jazz, Fusion;7
Game;7
Caribe;7
Trip-Hop;7
Techno;7
Rastabillyskank;7
Vocal;7
Sparber;7
genre;7
Revival;7
Electronica & Dance;7
Space;7
Romantic;7
Experimental;6
Rap/R&B;6
Religious;6
World;6
Rap;6
Oldtime;6
Rap/Hip-Hop;6
