classic pop and rock,58563
american,55439
rock,50093
british,46889
uk,45906
rock and indie,42568
english,34030
folk,26704
pop,22793
punk,21393
electronic,18213
usa,16508
hip hop rnb and dance hall,13854
metal,13739
german,13555
jazz,13354
alternative rock,13083
pop and chart,11458
dance and electronica,10383
european,8645
french,8523
england,8478
hard rock,8204
country,8036
jazz and blues,7152
progressive rock,6910
blues,6860
américain,6595
production music,6491
indie rock,6445
hip hop,6017
soul and reggae,5845
classical,5811
hip-hop,5785
finnish,5781
rnb,5477
alternative,5342
britannique,5274
heavy metal,5243
canadian,5228
electronica,5122
swedish,4869
new wave,4727
soundtrack,4675
easy listening soundtracks and musicals,4379
world,4288
soul,4187
scottish,3903
punk rock,3893
london,3833
italian,3764
norwegian,3663
united states,3615
composer,3406
80s,3383
blues rock,3342
synthpop,3258
experimental,3233
latin,3207
pop rock,3113
chinese,2942
alternative metal,2937
psychedelic rock,2933
dance,2914
ambient,2873
thrash metal,2814
90s,2775
art rock,2650
rock and roll,2634
reggae,2612
dutch,2598
hiphop,2579
rap,2568
post-punk,2528
folk rock,2522
australian,2508
warp,2432
us,2405
united kingdom,2398
industrial,2324
techno,2306
70s,2291
death metal,2280
indie,2217
swing,2196
4ad,2195
house,2177
black metal,2128
singer,2125
funk,2082
00s,2080
france,2069
soft rock,2062
irish,2008
trance,1951
california,1919
downtempo,1918
ska,1885
hardcore punk,1866
gothic rock,1806
canada,1783
industrial metal,1779
producer,1764
indie pop,1752
jamaican,1691
experimental rock,1662
adult contemporary,1566
disco,1562
progressive metal,1535
francophone,1531
new york,1503
eurovision,1499
français,1496
mandarin,1465
male vocalists,1448
brazilian,1442
gospel,1434
christian,1409
welsh,1406
instrumental,1405
glam rock,1388
hardcore,1373
greek,1351
compositeur,1347
melodic death metal,1334
spanish,1314
industrial rock,1302
the netherlands,1282
post-rock,1275
singer-songwriter,1267
idm,1265
trip-hop,1238
hong kong,1233
post-grunge,1229
bebop,1228
big band,1223
australia,1221
español,1219
10s,1197
taiwanese,1160
country rock,1157
goth,1155
lyricist,1150
electro,1095
dance-pop,1093
los angeles,1080
chanteur,1062
classic rock,1058
parolier,1056
electro-industrial,1043
britpop,1042
new age,1026
hard bop,1019
new metal,1010
dream pop,993
belgian,984
rapper,975
soundtrack composer,965
garage rock,963
power metal,962
jazz fusion,954
metalcore,954
pop punk,921
female vocalists,910
austrian,895
grunge,885
baroque pop,874
electric blues,873
gothic metal,857
czech,857
nu metal,845
opera,837
manchester,837
comedy,836
speed metal,834
south american,833
guitarist,832
60s,827
dub,816
electropop,813
pianist,805
alternative country,803
alternative dance,795
turkish,780
germany,777
darkwave,773
grime,773
power pop,773
psychedelic,771
glitch,769
danish,768
grindcore,754
piano,744
aggrotech,741
ebm,741
acid rock,740
doom metal,736
shoegazing,735
post bop,730
noise rock,725
scandinavian,715
dancehall,700
sweden,700
seen live,699
film composer,698
bossa nova,685
psychedelic pop,684
japanese,683
funk metal,681
celtic,680
southern rock,674
acoustic,670
producteur,657
ska punk,655
easy listening,655
symphonic metal,648
ninja tune,648
post-punk revival,646
cantonese,642
quebec,642
vocal jazz,640
ireland,635
mexican,624
protopunk,621
christian rock,621
northern irish,619
eurodance,618
rapcore,615
desi,612
avant-garde,611
oi,605
conductor,604
folk-rock,597
dark wave,593
guitar,587
birmingham,585
bluegrass,585
arabic,582
a cappella,576
scandinavie,574
scandinavia,574
scandinave,574
mc,570
drum and bass,569
neo-psychedelia,569
gothic,569
crossover,567
texas,561
big beat,557
berlin,556
hungarian,554
